ID,Name,dataId,queryStart,queryEnd,readStart,readEnd,sendStart,sendEnd,adrenStart,adrenEnd,queryTime,readTime,sendTime,adrenTime
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-25 07:15:04,2017-08-25 07:15:10,2017-08-25 07:15:10,2017-08-25 07:15:21,2017-08-25 07:15:21,2017-08-25 07:15:46,2017-08-25 07:15:46,2017-08-25 07:16:02,6.0,11.0,25.0,16.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-25 08:15:05,2017-08-25 08:15:11,2017-08-25 08:15:11,2017-08-25 08:15:23,2017-08-25 08:15:23,2017-08-25 08:16:02,2017-08-25 08:16:02,2017-08-25 08:16:13,6.0,12.0,39.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-25 09:15:06,2017-08-25 09:15:13,2017-08-25 09:15:13,2017-08-25 09:15:24,2017-08-25 09:15:24,2017-08-25 09:15:58,2017-08-25 09:15:58,2017-08-25 09:16:14,7.0,11.0,34.0,16.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-25 10:15:05,2017-08-25 10:15:10,2017-08-25 10:15:10,2017-08-25 10:15:22,2017-08-25 10:15:22,2017-08-25 10:15:40,2017-08-25 10:15:40,2017-08-25 10:15:56,5.0,12.0,18.0,16.0
fda97509-a595-41eb-996f-472e33e0edbf,SYS4 TRACKER INSTOCK DETAIL 2 - SM - SVR,356,2017-08-24 06:30:20,2017-08-24 06:37:33,2017-08-24 06:37:33,2017-08-24 06:37:34,2017-08-24 06:37:34,2017-08-24 06:37:39,2017-08-24 06:37:39,2017-08-24 06:37:45,433.0,1.0,5.0,6.0
fda97509-a595-41eb-996f-472e33e0edbf,SYS4 TRACKER INSTOCK DETAIL 2 - SM - SVR,356,2017-08-25 06:30:20,2017-08-25 06:35:44,2017-08-25 06:35:44,2017-08-25 06:35:45,2017-08-25 06:35:45,2017-08-25 06:35:51,2017-08-25 06:35:51,2017-08-25 06:35:57,324.0,1.0,6.0,6.0
3103e405-92b7-4e55-b5a7-27c72893970d,NZ BPS PRICE CHANGES - PI - SVR,350,2017-08-24 08:00:04,2017-08-24 08:00:15,2017-08-24 08:00:15,2017-08-24 08:02:48,2017-08-24 08:02:48,2017-08-24 08:05:10,2017-08-24 08:05:10,2017-08-24 08:07:03,11.0,153.0,142.0,113.0
3103e405-92b7-4e55-b5a7-27c72893970d,NZ BPS PRICE CHANGES - PI - SVR,350,2017-08-25 08:00:04,2017-08-25 08:00:14,2017-08-25 08:00:14,2017-08-25 08:02:47,2017-08-25 08:02:47,2017-08-25 08:05:14,2017-08-25 08:05:14,2017-08-25 08:07:02,10.0,153.0,147.0,108.0
fdd119c9-bdcb-459e-8c0b-fc4c3849b349,FORESEE ANSWER DEFINITIONS WEB - PI - SVR,343,2017-08-24 01:04:57,2017-08-24 01:04:57,2017-08-24 01:04:57,2017-08-24 01:04:58,2017-08-24 01:04:58,2017-08-24 01:04:59,2017-08-24 01:04:59,2017-08-24 01:05:04,0.0,1.0,1.0,5.0
fdd119c9-bdcb-459e-8c0b-fc4c3849b349,FORESEE ANSWER DEFINITIONS WEB - PI - SVR,343,2017-08-25 01:04:47,2017-08-25 01:04:47,2017-08-25 01:04:47,2017-08-25 01:04:47,2017-08-25 01:04:47,2017-08-25 01:04:48,2017-08-25 01:04:48,2017-08-25 01:04:54,0.0,0.0,1.0,6.0
04836153-c477-444a-8be7-541e226e22e0,FORESEE WEB BROWSE DETAIL - PI - SVR,342,2017-08-24 01:05:21,2017-08-24 01:05:26,2017-08-24 01:05:26,2017-08-24 01:05:40,2017-08-24 01:05:40,2017-08-24 01:06:23,2017-08-24 01:06:23,2017-08-24 01:07:04,5.0,14.0,43.0,41.0
04836153-c477-444a-8be7-541e226e22e0,FORESEE WEB BROWSE DETAIL - PI - SVR,342,2017-08-25 01:05:13,2017-08-25 01:05:18,2017-08-25 01:05:18,2017-08-25 01:05:32,2017-08-25 01:05:32,2017-08-25 01:06:13,2017-08-25 01:06:13,2017-08-25 01:06:34,5.0,14.0,41.0,21.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 08:00:04,2017-08-24 08:00:10,2017-08-24 08:00:10,2017-08-24 08:00:10,2017-08-24 08:00:10,2017-08-24 08:00:12,2017-08-24 08:00:12,2017-08-24 08:00:18,6.0,0.0,2.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 08:30:20,2017-08-24 08:30:23,2017-08-24 08:30:23,2017-08-24 08:30:23,2017-08-24 08:30:23,2017-08-24 08:30:27,2017-08-24 08:30:27,2017-08-24 08:30:32,3.0,0.0,4.0,5.0
